Song,Artist,Label,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
Dynamite,BTS,1,152.86130085042927,53.33766012610507,-62.17728599296488,82.90385319156333,-95.45960477439385,-39.47215670270249,-24.230570368737386,-53.75032035609965,-31.176614133650006,90.5234600776549,-21.320779032345392,57.36761100816467,-55.31169621766339,-54.97738501495664,126.88570470654386,22.473837371993955,25.44745068720589,-34.335130860667256
Vete,Bad Bunny,1,100.5878895133617,15.151963377322167,92.05235970927397,12.413981768535397,-69.51078945707053,-96.17090384558844,-4.671682997949212,14.882458340714203,16.366114631696277,138.72196307182767,4.311088063456801,14.324722170743343,-72.8454334810332,42.94511693607056,58.565677262754235,-74.54003332453422,-47.991818241264816,-54.649559581330216
Monaco,Bad Bunny,1,-44.86829919100569,24.079624747652186,-91.68644412845994,70.60779966716409,82.56277643347995,24.787764108874345,-81.58079159071048,28.974641671066838,-15.22223410582059,-9.21910097066056,36.46025841746896,140.38736489715782,-29.170716368627396,124.66876786146977,86.58455183678024,-46.647309324095,34.8125512387623,87.23593533695133
Despues de La Playa,Bad Bunny,0,-77.40706479177987,-58.92723061598033,-171.70000181346893,11.717166637403176,91.49388498726002,-78.51327780191266,27.40435964942303,-14.582182445716672,-42.331929079001085,13.115524252489989,-36.47962686913145,47.80476476284544,-65.81063788338619,25.87340269203057,4.085887881111477,7.161769398100092,1.9101447912723282,-36.26192273700806
Yonaguni,Bad Bunny,0,137.45014092090014,-44.639923858703476,74.11887494706697,20.52157792495757,-15.98167439796315,-94.31860206153426,-61.318478682978814,-26.99405938364559,-69.3874346941662,95.28039083101818,50.95464760803256,45.7169483507164,-35.366599312360556,60.32604744470526,-7.9649888137080955,1.4407459950454748,-17.274715021269035,-91.33414024546131
Titi Me Pregunto,Bad Bunny,0,53.32656767524493,-20.85848871345497,33.76487733139155,8.535821181887949,-8.065642457511137,62.72342089847219,-16.65520632135141,33.10101159569589,48.396284155641865,-10.457062735753135,20.71650136915698,49.90789638631696,-26.76075263720213,6.439105970711473,15.913614779252391,-19.231818771346962,35.64515736493558,-0.622470393379574
Rock And A Hard Place,Bailey Zimmerman,1,-104.85888649986529,-72.9353392742579,168.50697526701634,75.0353705131354,-5.590195771129174,-37.03167294221549,23.74752599790232,-40.58720142703279,32.96630442844263,10.049680125311507,-18.003790384343137,-10.367133652144496,10.210148301280341,-51.41287678227523,-9.332249954974909,45.63459446634603,-0.9989721847889104,-59.443916667560984
Meant To Be,Bebe Rexha & Florida Georgia Line,1,175.40715425612257,-34.16519164466002,11.064655892690178,-103.07363360266305,-38.47444043593934,-0.9922756306346622,-44.045691001317486,-11.13629085790526,-22.420013604766737,82.83916103590279,-34.00167002140503,-65.07631817111047,-39.74497424554297,63.393226648194016,39.21996117422018,-19.15482116064068,9.01680812383059,1.9872395753910717
Bounce Back,Big Sean,1,78.86812141351209,162.88368932966688,41.11098607704648,-34.061347846117776,162.0817133818065,44.634312504424365,-36.35900795824105,41.099998038774004,16.17635690496847,21.33572273716772,115.49632839417676,-5.4414840830185005,26.871040587642653,19.893663149023663,-24.976057700263524,-16.599173305738542,40.055917004321394,-31.021710972954512
Play No Games,Big Sean Featuring Chris Brown & Ty Dolla $ign,1,153.7497998310759,-6.415968477340634,14.323906586867775,34.96360266001558,85.50948406749767,-48.34683533867639,12.772071923064614,49.80972740314462,4.974877361811295,9.157266043449516,66.91849735799087,-37.10930250722414,53.55174287694658,-52.80469716655753,57.35999167355205,-53.19952632678059,36.165216512878814,-13.134542901714145
Happier Than Ever,Billie Eilish,0,-205.203586526596,-10.039122232579418,-59.807435634979434,10.559829462762416,35.53888587262219,105.42786661101921,64.23157612441716,83.37326931887172,4.485514384547867,20.682943491472464,-46.95966734539243,28.75701454040608,-27.6976404302572,-48.67717504051564,-1.487137747031901,49.601795289761355,19.92847274962912,-46.76321923817817
When The Party's Over,Billie Eilish,1,-203.10975954201473,26.332796424477284,12.301001833985318,123.90354348803963,0.20307657555662928,80.86300267097695,-59.17429398848606,59.8043338018333,0.13045394337213553,1.837061601841343,9.077375579999979,11.015525832208013,-36.21863734208532,-59.16711719880557,37.16397314195114,67.8583658898719,-11.650855754380144,-29.905055025700015
Mele Kalikimaka (Merry Christmas),Bing Crosby & The Andrews Sisters,1,-16.508720971535666,-61.89369413616445,-44.89530515527307,2.9167235304765247,61.16612996669661,47.49087907022641,-36.38001099633598,37.48365971158248,-136.72224005526022,28.953441435059744,6.390614517028799,-51.929451296391505,-0.08149617293610763,-8.307144822552607,8.381880344204061,-78.58549458963118,-58.158810331658415,31.421807650661307
White Christmas,Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,1,-80.47974548122811,-39.42256589164178,-60.53423606319325,110.252629405537,102.74390147133535,39.19888377219306,-103.40597097501359,46.03674515440266,1.2821121975804466,-1.2819782889597406,62.294598000191826,24.373241879888905,-24.238793349507684,31.301239513108793,10.044033832261269,0.551671706622337,-53.388804042998224,23.85123507885222
RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin,1,109.16395170110671,67.90092715351018,10.422447642827375,-71.2336707331237,-62.50860853506034,-25.639486782350982,-58.02748048452793,-44.10719562257531,-77.26354025499488,-52.183331062369966,-54.262186232920804,-69.07477454883691,-0.03064648027754061,-26.357400417715667,67.04675091176689,14.093132116544718,74.92877194706298,-77.03193569725154
Lonely Tonight,Blake Shelton Featuring Ashley Monroe,1,-67.40581066695995,-113.25437595808401,3.9154965113579,-74.66937069181002,38.158284097043776,43.32549904922987,7.080433650112278,-23.843180499168618,91.85726065507299,39.55820445648476,18.632443573619504,51.68914960958667,29.44406118306367,16.56056667559593,56.2203688978702,32.00481766343493,-58.829234087966825,1.210578196311743
Jingle Bell Rock,Bobby Helms,1,-67.44484969758658,-134.4710065516139,-97.85858147489647,99.3271815617436,94.52532161337722,30.34470039246414,53.441164459960504,-5.801759704017744,-2.0652177710809143,-14.61479769349356,-15.408779151237658,-34.424686303659136,36.72214082096672,15.663045837786237,-25.41889942366611,-6.835819850267804,-24.944998596779165,-1.6478908493957836
Rockin' Around The Christmas Tree,Brenda Lee,1,74.51043139758791,-86.57231695871836,-71.50035567843825,-104.96062843820619,141.47853515362127,-67.66033863700451,-0.40747132464177027,34.976814502211795,87.88550153564721,27.348427063996354,-20.246012956696287,-47.20747276258015,-26.367990027612848,-4.607282440353585,39.783358809023596,-27.51747505896882,15.756491244836967,-21.911899953295666
Versace On The Floor,Bruno Mars,1,125.35954668020419,-17.44123478020573,26.445057280548422,14.518770674955007,-3.3550551094188,125.50366190041579,2.764534622406826,-18.089388505569698,32.12468423069914,-50.15576130160664,-11.37932292884591,34.11234837164582,73.83962004276873,53.562980176152074,46.98625381998781,105.9992135127456,91.89297598920965,-27.10472355469645
